iter	MultiClassOneVsAll
0	0.6358582254
1	0.5885966898
2	0.5491747929
3	0.5164852199
4	0.4884064719
5	0.4647376286
6	0.4444427495
7	0.4266907543
8	0.411473143
9	0.3981363629
10	0.3864238501
11	0.3766001095
12	0.3678713255
13	0.3600587912
14	0.3534265934
15	0.3477496406
16	0.3420974516
17	0.3374337093
18	0.333432413
19	0.3297470702
20	0.3266983497
21	0.3238502739
22	0.3212922678
23	0.3188067121
24	0.3168062426
25	0.3148514198
26	0.3133851312
27	0.3117063992
28	0.3101890701
29	0.3090170738
30	0.3078748311
31	0.306797873
32	0.3059241193
33	0.3050658198
34	0.304191776
35	0.3035171014
36	0.3027556213
37	0.3022393434
38	0.3015431933
39	0.3011076007
40	0.3005283248
41	0.3001862417
42	0.2997286415
43	0.2991951141
44	0.2988378059
45	0.2985655138
46	0.2980045806
47	0.2976159598
48	0.2973062342
49	0.2968422598
50	0.296646631
51	0.2963832474
52	0.296156606
53	0.2958765065
54	0.2956693954
55	0.2954337428
56	0.2951728018
57	0.2949884705
58	0.2948231689
59	0.2944092328
60	0.2941019893
61	0.2936950932
62	0.2935367216
63	0.2931464033
64	0.2929960919
65	0.2927720586
66	0.2925862892
67	0.2922369423
68	0.2919493737
69	0.2917389316
70	0.2915505824
71	0.2914362347
72	0.2913222439
73	0.2912012893
74	0.2910195898
75	0.2908014326
76	0.2906007533
77	0.290396347
78	0.2902207136
79	0.2901144556
80	0.2899569364
81	0.2896863007
82	0.2894386766
83	0.2893367873
84	0.2892516357
85	0.2891590891
86	0.2889687916
87	0.2888384693
88	0.2885805556
89	0.288453664
90	0.2883757708
91	0.2881275189
92	0.2880540135
93	0.2878456249
94	0.2877697098
95	0.2876455118
96	0.2875399436
97	0.2874669836
98	0.2874010539
99	0.2872692148
100	0.2871484962
101	0.2870711923
102	0.2869371105
103	0.2868146548
104	0.2866151539
105	0.2865329833
106	0.2864549557
107	0.2862498884
108	0.2861453636
109	0.2860166681
110	0.285918994
111	0.2858244622
112	0.2857008179
113	0.2856191846
114	0.2854373736
115	0.2852032516
116	0.2850790016
117	0.2848623304
118	0.2847690268
119	0.2847058352
120	0.2845970235
121	0.28445363
122	0.2843934027
123	0.2843279877
124	0.2842256556
125	0.2841402479
126	0.284023565
127	0.2839366286
128	0.2838691532
129	0.283789095
130	0.2837079834
131	0.2836077169
132	0.2834691848
133	0.2834056723
134	0.2832548884
135	0.2831768651
136	0.2830489639
137	0.2829671464
138	0.2828036745
139	0.2827157563
140	0.2825928833
141	0.2823992737
142	0.2823097062
143	0.2822505588
144	0.2822014768
145	0.2821361066
146	0.2819437211
147	0.2818496932
148	0.2818063277
149	0.2817380935
150	0.2816598241
151	0.2815415418
152	0.2814455615
153	0.2813823895
154	0.2813261385
155	0.2812447021
156	0.2811922841
157	0.2810955552
158	0.2809952068
159	0.2808845707
160	0.2808409384
161	0.280742771
162	0.2806397542
163	0.2805497164
164	0.2804543148
165	0.2803531209
166	0.2802835662
167	0.2802350803
168	0.2801458213
169	0.2800991685
170	0.2800236912
171	0.2799590147
172	0.2798261003
173	0.2797321919
174	0.2796617293
175	0.2795642415
176	0.2794614307
177	0.2794178432
178	0.2793821245
179	0.2793024499
180	0.2792360634
181	0.2790885488
182	0.2789446245
183	0.2788400446
184	0.2787506105
185	0.2786238565
186	0.2785458097
187	0.2784425812
188	0.2783619298
189	0.2783303102
