iter	Passed	Remaining
0	42	42188
1	62	31170
2	80	26709
3	99	24835
4	120	24017
5	141	23390
6	164	23307
7	184	22832
8	206	22767
9	231	22930
10	252	22712
11	280	23117
12	301	22911
13	326	22984
14	348	22881
15	369	22693
16	387	22420
17	410	22400
18	432	22307
19	452	22189
20	475	22172
21	503	22379
22	524	22279
23	549	22335
24	572	22342
25	596	22364
26	615	22198
27	635	22048
28	657	21998
29	675	21838
30	699	21850
31	718	21749
32	738	21648
33	761	21641
34	782	21569
35	806	21583
36	825	21486
37	846	21437
38	866	21341
39	890	21373
40	910	21297
41	929	21207
42	951	21176
43	970	21092
44	996	21157
45	1017	21091
46	1036	21025
47	1064	21109
48	1084	21044
49	1112	21129
50	1135	21122
51	1155	21073
52	1174	20978
53	1198	21000
54	1226	21071
55	1253	21123
56	1273	21068
57	1296	21058
58	1325	21138
59	1350	21151
60	1374	21162
61	1397	21144
62	1424	21181
63	1448	21181
64	1468	21125
65	1491	21111
66	1516	21122
67	1540	21117
68	1563	21099
69	1582	21021
70	1604	20991
71	1623	20919
72	1650	20958
73	1673	20938
74	1698	20952
75	1726	20993
76	1754	21025
77	1776	21000
78	1801	20999
79	1823	20965
80	1850	20993
81	1872	20963
82	1896	20958
83	1919	20928
84	1942	20905
85	1969	20936
86	1993	20919
87	2017	20904
88	2041	20901
89	2069	20921
90	2092	20901
91	2113	20860
92	2138	20858
93	2163	20847
94	2186	20832
95	2211	20820
96	2237	20828
97	2264	20845
98	2312	21045
99	2353	21179
100	2400	21364
101	2427	21372
102	2458	21414
103	2485	21412
104	2516	21446
105	2551	21520
106	2574	21490
107	2598	21463
108	2620	21421
109	2644	21398
110	2667	21361
111	2689	21323
112	2709	21271
113	2728	21208
114	2753	21187
115	2774	21140
116	2796	21106
117	2820	21080
118	2842	21045
119	2863	20997
120	2885	20962
121	2907	20921
122	2927	20872
123	2952	20859
124	2973	20815
125	3000	20814
126	3025	20796
127	3048	20765
128	3073	20754
129	3098	20734
