uid,out,single,double,triple,home_run
4,0.828303058,0.06180134,0.066539917,0.008040653,0.035315032
11,0.37175546,0.106788263,0.437971199,0.003765443,0.079719635
18,0.620578702,0.2620827,0.097448947,0.003624563,0.016265088
19,0.787224662,0.20340447,0.007442665,0.000645944,0.001282259
21,0.737381371,0.214552833,0.02218286,0.004183524,0.021699411
24,0.666610973,0.31562379,0.014115323,0.001060465,0.002589449
38,0.841932337,0.078957822,0.029794395,0.00171403,0.047601416
45,0.702104567,0.287954686,0.007487269,0.001838355,0.000615123
48,0.74930098,0.229787817,0.01833644,0.000602599,0.001972163
51,0.867114526,0.064717272,0.025488009,0.003237125,0.039443069
55,0.771403274,0.084251507,0.041327037,0.00243967,0.100578512
56,0.646833484,0.225355751,0.074563039,0.009354386,0.043893341
57,0.530505765,0.402029339,0.038328856,0.012199757,0.016936283
68,0.603934758,0.12229935,0.039563619,0.009543815,0.224658457
71,0.72765626,0.214275153,0.030546705,0.002833079,0.024688804
75,0.573575605,0.140947424,0.156161824,0.034912187,0.09440296
76,0.712316072,0.061971287,0.124975624,0.007836368,0.092900649
77,0.576360327,0.067012168,0.226965377,0.029489806,0.100172323
82,0.454398969,0.3676705,0.098504781,0.005286694,0.074139056
83,0.533470815,0.345560127,0.070609171,0.01090232,0.039457567
85,0.686734161,0.217033182,0.036595362,0.008473641,0.051163654
90,0.736484236,0.195615858,0.024138801,0.00193847,0.041822635
91,0.73599475,0.117622609,0.137584168,0.002510876,0.006287597
93,0.786533913,0.058519313,0.141575865,0.004374535,0.008996374
106,0.531437278,0.366662419,0.067614912,0.013602846,0.020682545
109,0.769110677,0.177057872,0.038533133,0.004919381,0.010378938
110,0.536300773,0.418094807,0.036027044,0.003422474,0.006154901
118,0.765996533,0.20123771,0.021545018,0.001517824,0.009702914
123,0.697007116,0.254434508,0.029531786,0.002494803,0.016531787
134,0.63478741,0.321572199,0.035087386,0.004223284,0.004329721
137,0.867600996,0.071674329,0.045278927,0.014339565,0.001106183
138,0.765102735,0.204050006,0.022852678,0.00120091,0.006793671
149,0.683191888,0.270392925,0.031554588,0.009715231,0.005145368
151,0.820283213,0.160864455,0.010621192,0.003370075,0.004861064
154,0.714303592,0.248402821,0.025033373,0.001504039,0.010756175
